0,100,42,169
1,100,43,350
2,0,100,362
3,0,200,387
4,0,300,427
5,0,400,471
6,2,500,547
7,1,500,610
8,1,500,692
9,1,500,739
10,2,500,840
11,0,500,891
12,0,600,948
13,48,700,1835
14,35,700,2645
15,10,700,3000
16,0,700,3116
17,0,800,3250
18,1,900,3408
19,0,900,3577
20,0,1000,3761
21,1,1100,3971
22,0,1100,4096
23,0,1200,4225
24,0,1300,4377
25,0,1400,4533
26,0,1500,4832
27,0,1600,5126
28,0,1700,5433
29,0,1800,5739
30,0,1900,6079
31,0,2000,6416
32,0,2100,6768
33,0,2200,7144
34,0,2300,7556
35,1,2400,8201
36,3,2400,8880
37,0,2400,9335
38,0,2500,9779
39,0,2600,10207
40,0,2700,10651
41,1,2800,11343
42,1,2800,12013
43,0,2800,12474
